                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.379,                0.32241,                0.50293,                 5.0871,             0.00023761,             0.00023761,             0.00023761
                      2,                 3.1843,                 0.4355,                0.62959,                 4.9486,             0.00042852,             0.00042852,             0.00042852
                      3,                 2.5804,                0.50293,                0.68368,                 4.8793,             0.00057231,             0.00057231,             0.00057231
                      4,                  2.217,                0.53711,                 0.7174,                 4.8326,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.9117,                0.57223,                 0.7387,                 4.7966,             0.00043126,             0.00043126,             0.00043126
                      6,                 1.6897,                0.58768,                0.76282,                   4.76,             0.00036057,             0.00036057,             0.00036057
                      7,                 1.5196,                0.61227,                0.77148,                 4.7422,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.3967,                0.61742,                0.77991,                 4.7347,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.2878,                0.62351,                0.78483,                 4.7214,             0.00014851,             0.00014851,             0.00014851
                     10,                 1.2112,                0.63123,                0.79092,                 4.7173,             7.7826e-05,             7.7826e-05,             7.7826e-05
